SubjectId,LesionLabel,PixelVolume,Volume
CHB_train_Case01_lesion,1,0.125,63924
CHB_train_Case01_lesion,2,0.125,53005
CHB_train_Case01_lesion,3,0.125,12708
CHB_train_Case01_lesion,4,0.125,8508
CHB_train_Case01_lesion,5,0.125,2004
CHB_train_Case01_lesion,6,0.125,1068
CHB_train_Case01_lesion,7,0.125,1056
CHB_train_Case01_lesion,8,0.125,816
CHB_train_Case01_lesion,9,0.125,804
CHB_train_Case01_lesion,10,0.125,696
CHB_train_Case01_lesion,11,0.125,696
CHB_train_Case01_lesion,12,0.125,672
CHB_train_Case01_lesion,13,0.125,660
CHB_train_Case01_lesion,14,0.125,648
CHB_train_Case01_lesion,15,0.125,612
CHB_train_Case01_lesion,16,0.125,612
CHB_train_Case01_lesion,17,0.125,552
CHB_train_Case01_lesion,18,0.125,528
CHB_train_Case01_lesion,19,0.125,492
CHB_train_Case01_lesion,20,0.125,492
CHB_train_Case01_lesion,21,0.125,480
CHB_train_Case01_lesion,22,0.125,480
CHB_train_Case01_lesion,23,0.125,468
CHB_train_Case01_lesion,24,0.125,432
CHB_train_Case01_lesion,25,0.125,420
CHB_train_Case01_lesion,26,0.125,384
CHB_train_Case01_lesion,27,0.125,348
CHB_train_Case01_lesion,28,0.125,336
CHB_train_Case01_lesion,29,0.125,300
CHB_train_Case01_lesion,30,0.125,276
CHB_train_Case01_lesion,31,0.125,228
CHB_train_Case01_lesion,32,0.125,228
CHB_train_Case01_lesion,33,0.125,204
CHB_train_Case01_lesion,34,0.125,168
CHB_train_Case01_lesion,35,0.125,168
CHB_train_Case01_lesion,36,0.125,132
CHB_train_Case01_lesion,37,0.125,132
CHB_train_Case01_lesion,38,0.125,132
CHB_train_Case01_lesion,39,0.125,108
CHB_train_Case01_lesion,40,0.125,96
CHB_train_Case01_lesion,41,0.125,96
CHB_train_Case01_lesion,42,0.125,84
CHB_train_Case01_lesion,43,0.125,84
CHB_train_Case01_lesion,44,0.125,72
CHB_train_Case01_lesion,45,0.125,72
CHB_train_Case01_lesion,46,0.125,60
CHB_train_Case01_lesion,47,0.125,60
CHB_train_Case01_lesion,48,0.125,48
CHB_train_Case01_lesion,49,0.125,48
CHB_train_Case01_lesion,50,0.125,48
CHB_train_Case01_lesion,51,0.125,36
CHB_train_Case01_lesion,52,0.125,36
CHB_train_Case01_lesion,53,0.125,36
CHB_train_Case01_lesion,54,0.125,36
CHB_train_Case01_lesion,55,0.125,36
CHB_train_Case01_lesion,56,0.125,24
CHB_train_Case01_lesion,57,0.125,24
CHB_train_Case01_lesion,58,0.125,24
CHB_train_Case01_lesion,59,0.125,24
CHB_train_Case02_lesion,1,0.125,18128
CHB_train_Case02_lesion,2,0.125,13605
CHB_train_Case02_lesion,3,0.125,8600
CHB_train_Case02_lesion,4,0.125,7847
CHB_train_Case02_lesion,5,0.125,937
CHB_train_Case02_lesion,6,0.125,523
CHB_train_Case02_lesion,7,0.125,494
CHB_train_Case02_lesion,8,0.125,474
CHB_train_Case02_lesion,9,0.125,322
CHB_train_Case02_lesion,10,0.125,264
CHB_train_Case02_lesion,11,0.125,252
CHB_train_Case02_lesion,12,0.125,132
CHB_train_Case02_lesion,13,0.125,112
CHB_train_Case02_lesion,14,0.125,98
CHB_train_Case02_lesion,15,0.125,96
CHB_train_Case02_lesion,16,0.125,72
CHB_train_Case02_lesion,17,0.125,49
CHB_train_Case02_lesion,18,0.125,48
CHB_train_Case02_lesion,19,0.125,36
CHB_train_Case02_lesion,20,0.125,36
CHB_train_Case02_lesion,21,0.125,24
CHB_train_Case02_lesion,22,0.125,24
CHB_train_Case02_lesion,23,0.125,24
CHB_train_Case03_lesion,1,0.125,13908
CHB_train_Case03_lesion,2,0.125,5784
CHB_train_Case03_lesion,3,0.125,5412
CHB_train_Case03_lesion,4,0.125,2388
CHB_train_Case03_lesion,5,0.125,2004
CHB_train_Case03_lesion,6,0.125,1476
CHB_train_Case03_lesion,7,0.125,1440
CHB_train_Case03_lesion,8,0.125,828
CHB_train_Case03_lesion,9,0.125,732
CHB_train_Case03_lesion,10,0.125,552
CHB_train_Case03_lesion,11,0.125,384
CHB_train_Case03_lesion,12,0.125,348
CHB_train_Case03_lesion,13,0.125,336
CHB_train_Case03_lesion,14,0.125,192
CHB_train_Case03_lesion,15,0.125,180
CHB_train_Case03_lesion,16,0.125,132
CHB_train_Case03_lesion,17,0.125,60
CHB_train_Case03_lesion,18,0.125,24
CHB_train_Case03_lesion,19,0.125,24
CHB_train_Case04_lesion,1,0.125,10768
CHB_train_Case04_lesion,2,0.125,9997
CHB_train_Case04_lesion,3,0.125,7397
CHB_train_Case04_lesion,4,0.125,5537
CHB_train_Case04_lesion,5,0.125,2179
CHB_train_Case04_lesion,6,0.125,2060
CHB_train_Case04_lesion,7,0.125,1486
CHB_train_Case04_lesion,8,0.125,1239
CHB_train_Case04_lesion,9,0.125,1053
CHB_train_Case04_lesion,10,0.125,775
CHB_train_Case04_lesion,11,0.125,715
CHB_train_Case04_lesion,12,0.125,677
CHB_train_Case04_lesion,13,0.125,655
CHB_train_Case04_lesion,14,0.125,493
CHB_train_Case04_lesion,15,0.125,451
CHB_train_Case04_lesion,16,0.125,391
CHB_train_Case04_lesion,17,0.125,248
CHB_train_Case04_lesion,18,0.125,182
CHB_train_Case04_lesion,19,0.125,159
CHB_train_Case04_lesion,20,0.125,136
CHB_train_Case04_lesion,21,0.125,77
CHB_train_Case04_lesion,22,0.125,47
CHB_train_Case04_lesion,23,0.125,41
CHB_train_Case04_lesion,24,0.125,16
CHB_train_Case05_lesion,1,0.125,15753
CHB_train_Case05_lesion,2,0.125,11540
CHB_train_Case05_lesion,3,0.125,5739
CHB_train_Case05_lesion,4,0.125,5253
CHB_train_Case05_lesion,5,0.125,4535
CHB_train_Case05_lesion,6,0.125,3319
CHB_train_Case05_lesion,7,0.125,2816
CHB_train_Case05_lesion,8,0.125,2565
CHB_train_Case05_lesion,9,0.125,2507
CHB_train_Case05_lesion,10,0.125,1743
CHB_train_Case05_lesion,11,0.125,1340
CHB_train_Case05_lesion,12,0.125,973
CHB_train_Case05_lesion,13,0.125,633
CHB_train_Case05_lesion,14,0.125,629
CHB_train_Case05_lesion,15,0.125,532
CHB_train_Case05_lesion,16,0.125,422
CHB_train_Case05_lesion,17,0.125,391
CHB_train_Case05_lesion,18,0.125,368
CHB_train_Case05_lesion,19,0.125,344
CHB_train_Case05_lesion,20,0.125,264
CHB_train_Case05_lesion,21,0.125,254
CHB_train_Case05_lesion,22,0.125,246
CHB_train_Case05_lesion,23,0.125,157
CHB_train_Case05_lesion,24,0.125,147
CHB_train_Case05_lesion,25,0.125,143
CHB_train_Case05_lesion,26,0.125,129
CHB_train_Case05_lesion,27,0.125,93
CHB_train_Case05_lesion,28,0.125,71
CHB_train_Case05_lesion,29,0.125,40
CHB_train_Case05_lesion,30,0.125,24
CHB_train_Case06_lesion,1,0.125,44822
CHB_train_Case06_lesion,2,0.125,35307
CHB_train_Case06_lesion,3,0.125,6072
CHB_train_Case06_lesion,4,0.125,5859
CHB_train_Case06_lesion,5,0.125,3744
CHB_train_Case06_lesion,6,0.125,2868
CHB_train_Case06_lesion,7,0.125,2756
CHB_train_Case06_lesion,8,0.125,2460
CHB_train_Case06_lesion,9,0.125,1930
CHB_train_Case06_lesion,10,0.125,924
CHB_train_Case06_lesion,11,0.125,912
CHB_train_Case06_lesion,12,0.125,885
CHB_train_Case06_lesion,13,0.125,816
CHB_train_Case06_lesion,14,0.125,768
CHB_train_Case06_lesion,15,0.125,732
CHB_train_Case06_lesion,16,0.125,720
CHB_train_Case06_lesion,17,0.125,636
CHB_train_Case06_lesion,18,0.125,552
CHB_train_Case06_lesion,19,0.125,540
CHB_train_Case06_lesion,20,0.125,529
CHB_train_Case06_lesion,21,0.125,360
CHB_train_Case06_lesion,22,0.125,348
CHB_train_Case06_lesion,23,0.125,337
CHB_train_Case06_lesion,24,0.125,337
CHB_train_Case06_lesion,25,0.125,336
CHB_train_Case06_lesion,26,0.125,300
CHB_train_Case06_lesion,27,0.125,288
CHB_train_Case06_lesion,28,0.125,276
CHB_train_Case06_lesion,29,0.125,276
CHB_train_Case06_lesion,30,0.125,276
CHB_train_Case06_lesion,31,0.125,264
CHB_train_Case06_lesion,32,0.125,264
CHB_train_Case06_lesion,33,0.125,264
CHB_train_Case06_lesion,34,0.125,228
CHB_train_Case06_lesion,35,0.125,204
CHB_train_Case06_lesion,36,0.125,192
CHB_train_Case06_lesion,37,0.125,180
CHB_train_Case06_lesion,38,0.125,180
CHB_train_Case06_lesion,39,0.125,168
CHB_train_Case06_lesion,40,0.125,168
CHB_train_Case06_lesion,41,0.125,168
CHB_train_Case06_lesion,42,0.125,168
CHB_train_Case06_lesion,43,0.125,156
CHB_train_Case06_lesion,44,0.125,156
